제품명,이미지 링크,가격(원),에너지 소비효율 등급,소비전력(W),화면사이즈(cm),해상도,디스플레이 종류,주사율(Hz),운영체제,스피커 출력(W),스탠드 제외 크기(mm),스탠드 제외 무게(kg),제품사용설명서 pdf
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770832/gallery/medium-interior01.jpg,"11,388,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,712 x 982 x 24.8",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=GeZAklKkOWdkKrqkQ2lAg
LG 올레드 evo AI (OLED M),https://www.lge.co.kr/kr/images/tvs/md10606845/gallery/medium-interior01.jpg,"9,300,000원",5등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,60W,"1,712 x 986 x 24.8",35.5,http://kr.eguide.lgappstv.com/manual/w25/w25_kr01.html
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573834/gallery/medium-interior01.jpg,"7,700,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,842 x 1,055 x 52.9",26.7,http://kr.eguide.lgappstv.com/manual/w25/w25_kr03.html
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10785832/gallery/medium-interior01.jpg,,4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,842 x 1,055 x 52.9",26.7,http://kr.eguide.lgappstv.com/manual/w26_tv/w26_kr03.html
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542833/gallery/medium-interior01.jpg,"12,200,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,40W,"1,842 x 1,055 x 52.9",28.3,http://kr.eguide.lgappstv.com/manual/w25/w25_kr02.html
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542833/gallery/medium-interior01.jpg,"8,800,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,842 x 1,055 x 52.9",28.3,http://kr.eguide.lgappstv.com/manual/w25/w25_kr02.html
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"10,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,842 x 1,055 x 52.9",28.3,http://kr.eguide.lgappstv.com/manual/w26_tv/w26_kr02.html
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"8,900,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,20W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=qZLNU2GkY46OP6SrPA9Iw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"10,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=likcPzyNtgFnZhAheAivgw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543827/gallery/medium-interior01.jpg,"13,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 25,60W,"1,847 x 1,057 x 28.0",39,https://gscs-b2c.lge.com/open/downloadFile?fileId=MZw3qYX3T66hR3iByJzfAA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770829/gallery/medium-interior01.jpg,"15,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,847 x 1,057 x 28",37.2,http://kr.eguide.lgappstv.com/manual/w26_tv/w26_kr04.html
LG 올레드 evo AI (OLED M),https://www.lge.co.kr/kr/images/tvs/md10606843/gallery/medium-interior01.jpg,,5등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,60W,"1,847 x 1,062 x 28.0",38.3,http://kr.eguide.lgappstv.com/manual/w25/w25_kr01.html
LG 올레드 evo (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md09451826/gallery/medium-interior01.jpg,,비대상,0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 22,60W,"2,155 x 1,225 x 28.2",57,http://kr.eguide.lgappstv.com/manual/w24_mr4/w24_kr17.html
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542831/gallery/medium-interior01.jpg,"42,900,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,60W,"2,155 x 1,230 x 28.2",57.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=6DXwy4xBJfLXmfFYmRP8Q
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770826/gallery/medium-interior01.jpg,"50,384,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 26,60W,"2,155 x 1,230 x 28.2",57.0,http://kr.eguide.lgappstv.com/manual/w26_tv/w26_kr04.html
