제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),설치타입,도어 개수,전체 용량(L),냉장 용량(L),냉동 용량(L),제품 크기(mm),무게(kg),색상,도어 재질,냉각방식,스마트 진단,아이스메이커,제품 사용 설명서
LG 디오스 오브제컬렉션 일반냉장고,https://www.lge.co.kr/kr/images/refrigerators/md10647826/gallery/medium-interior01.jpg,"880,000원",1등급,27.8,일반 냉장고,2도어,317,238,79,"600 x 1,640 x 710",57,오브제컬렉션 크림 화이트,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09325827/gallery/medium-interior01.jpg,"880,000원",4등급,30,,,335,256,79,"600 x 1,720 x 710",60,오브제컬렉션 베이지,네이처 (메탈),멀티냉각방식,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=8DX3wkvc1dzwuKQ2ZJHdA
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10301830/gallery/medium-interior01.jpg,"830,000원",3등급,29.0,일반 냉장고,2도어,461,361,,"700 x 1,845 x 725",70,오브제컬렉션 크림 그레이,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=2Pq7PBsmQDhvbDhq60A8Og
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09811829/gallery/medium-interior01.jpg,"980,000원",3등급,37.3,일반 냉장고,2도어,507,376,,"780 x 1,800 x 730",78,네이처 베이지,메탈,멀티냉각방식,O 있음,X 제공안함,
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md09811828/gallery/medium-interior01.jpg,"1,050,000원",3등급,37.3,일반 냉장고,2도어,507,376,,"780 x 1,800 x 730",78,오브제컬렉션 베이지,메탈,,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=ZQlC41XMuNSU1PzubeZb3g
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10590828/gallery/medium-interior01.jpg,"1,240,000원",3등급,39.0,일반 냉장고,2도어,612,428,184,"831 x 1,860 x 741",85,프라임 실버,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=OQW3etYEGZEvwhSddY36qw
LG 일반냉장고 오브제컬렉션,https://www.lge.co.kr/kr/images/refrigerators/md10366862/gallery/medium-interior01.jpg,"1,290,000원",2등급,37.0,일반 냉장고,2도어,612,428,184,"831 x 1,860 x 741",85,프라임 실버,메탈,멀티냉각방식,O 있음,트위스트 아이스 메이커,https://gscs-b2c.lge.com/open/downloadFile?fileId=VCfWUjE8d21cjFQgrTXg
LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10705832/gallery/medium-interior01.jpg,,4등급,70,프리스탠딩,3도어,742,504,238,"908 x 1,785 x 802",118,스테인리스,스테인리스,멀티냉각방식,O 있음,X 제공안함,https://gscs-b2c.lge.com/open/downloadFile?fileId=y38memMspvCAEkeM6rj3tw
LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10340829/gallery/medium-interior01.jpg,,4등급,70,프리스탠딩,3도어,742,504,238,"908 x 1,785 x 802",125,스테인리스,스테인리스,멀티냉각방식,O 있음,오토 아이스메이커,
LG 프렌치 디오스,https://www.lge.co.kr/kr/images/refrigerators/md10340828/gallery/medium-interior01.jpg,,4등급,77,프리스탠딩,3도어,716,478,238,"908 x 1,785 x 802",126,스테인리스,스테인리스,멀티냉각방식,O 있음,오토 아이스메이커,
