제품명,이미지 링크,가격(원),에너지 소비효율 등급,정격소비전력(W),크기(청소기 본체),크기(올인원 타워),무게(청소기 본체),무게(올인원 타워),색상(청소기 본체),최대 흡입력(W),배터리 포함 수(개),제품 사용 설명서
LG 코드제로 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10756828/gallery/medium-interior01.jpg,"1,580,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.49,9.2,에센스 화이트,280,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=iISGHafEkCQ39YpNoZyA
LG 코드제로 오브제컬렉션 A9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10645837/gallery/medium-interior01.jpg,"1,610,000원",해당없음,400,"300 x 1,100 x 245","256 x 1,009 x 298",2.49,9.145,카밍 베이지,280,2 (듀얼),https://gscs-b2c.lge.com/open/downloadFile?fileId=iISGHafEkCQ39YpNoZyA
LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (프리스탠딩),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10612836/gallery/medium-interior01.jpg,"1,970,000원",해당없음,80,411 x 497 x 441,411 x 497 x 441,10.8,10.8,에센스 화이트,80,1 (내장형),https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (프리스탠딩),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10624828/gallery/medium01.jpg,"1,991,000원",해당없음,80,411 x 497 x 441,411 x 497 x 441,10.8,10.8,카밍 베이지,80,1 (내장형),https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (자동 급배수),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10436830/gallery/medium-interior01.jpg,"2,191,000원",해당없음,80,411 x 497 x 441,411 x 497 x 441,10.8,10.8,카밍 베이지,80,1 (내장형),https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
LG CYKING 청소기,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10014830/gallery/medium-interior01.jpg,"209,000원",3등급,"1,050",270 x 234 x 400,,4.4,,샤이닝 실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ojxh29szPrEkE2R8fuy2Q
LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08751581/gallery/medium-interior01.jpg,"229,000원",3등급,"1,050 W",260 x 266 x 352,,4.3,,스파클실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=FewijPuA6tYlb7kB3Uq9xg
LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08745434/gallery/medium-interior01.jpg,"249,000원",3등급,"1,050 W",,,,,샤이니 실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=heKnGT1v1EmhCc782DdGXQ
LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10014827/gallery/medium-interior01.jpg,"269,000원",3등급,"1,050",260 x 265 x 352,,4.4,,카밍 베이지,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=3GY6AriTVO3hWtYUvs5Q
LG CYKING K8,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08046024/gallery/medium-interior01.jpg,"349,000원",3등급,"1,100",285 x 305 x 445,,6.0,,아이언 그레이,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=8364hRdJP9ZVdv11zu56w
LG CYKING K8,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09996826/gallery/medium-interior01.jpg,"370,000원",3등급,"1,100",285 x 305 x 445,,6.0,,카밍 베이지,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=JJqWcgrHlYkhHboB9l0Q4A
LG 코드제로 오브제컬렉션 M9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09946834/gallery/medium-interior01.jpg,"770,000원",해당없음,12.5,280 x 280 x 89,,2.0,,카밍 베이지,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=lQO2kAPdJJUSB2GOYDP4nQ
LG 코드제로 오브제컬렉션 R5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10249826/gallery/medium-interior01.jpg,"900,000원",해당없음,30,202 x 480 x 233,202 x 480 x 233,5.4,5.4,카밍 베이지,30,1 (내장형),https://gscs-b2c.lge.com/open/downloadFile?fileId=sRfOxJrJHML00TsASgACQ
LG 코드제로 오브제컬렉션 R9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555830/gallery/medium-interior01.jpg,,해당없음,200,235 x 498 x 432,235 x 498 x 432,5.7,5.7,카밍 베이지,70,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=bJrhki6FjmzzQmgzxMjA
LG 코드제로 오브제컬렉션 R5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555829/gallery/medium-interior01.jpg,"900,000원",해당없음,30,202 x 480 x 233,202 x 480 x 233,5.4,5.4,에센스 화이트,30,1 (내장형),
자동 급배수 키트,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10455828/gallery/medium01.jpg,"222,000원",,,435 x 288 x 272,,1.67,,,,,
LG 업소용 청소기,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09092829/gallery/medium-interior01.jpg,"269,000원",해당 없음,1200 W,,,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=Cgjz1clKNaTNpYBN8aFxOA
