product_code,name,img_link,price,proficiency_level,power_consum(W),unit_width(mm),unit_height(mm),unit_depth(mm),tower_width(mm),tower_height(mm),tower_depth(mm),unit_weight(kg),tower_weight(kg),color,suction_power(W),battery_cnt(개),manual_link
VAC019,LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (프리스탠딩),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10612836/gallery/medium-interior01.jpg,1970000,,80,411,497,441,411,497,441,10.8,10.8,에센스 화이트,80,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
VAC020,LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (프리스탠딩),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10624828/gallery/medium01.jpg,1991000,,80,411,497,441,411,497,441,10.8,10.8,카밍 베이지,80,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
VAC021,LG 코드제로 AI 오브제컬렉션 로보킹 올인원 (자동 급배수),https://www.lge.co.kr/kr/images/vacuum-cleaners/md10436830/gallery/medium-interior01.jpg,2191000,,80,411,497,441,411,497,441,10.8,10.8,카밍 베이지,80,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=nCa4mVIJ0PShJmRnMGeykg
VAC022,LG CYKING 청소기,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10014830/gallery/medium-interior01.jpg,209000,3,1050,270,234,400,,,,4.4,,샤이닝 실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ojxh29szPrEkE2R8fuy2Q
VAC023,LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08751581/gallery/medium-interior01.jpg,229000,3,1050,260,266,352,,,,4.3,,스파클실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=FewijPuA6tYlb7kB3Uq9xg
VAC024,LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08745434/gallery/medium-interior01.jpg,249000,3,1050,,,,,,,,,샤이니 실버,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=heKnGT1v1EmhCc782DdGXQ
VAC025,LG CYKING POWER,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10014827/gallery/medium-interior01.jpg,269000,3,1050,260,265,352,,,,4.4,,카밍 베이지,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=3GY6AriTVO3hWtYUvs5Q
VAC026,LG CYKING K8,https://www.lge.co.kr/kr/images/vacuum-cleaners/md08046024/gallery/medium-interior01.jpg,349000,3,1100,285,305,445,,,,6.0,,아이언 그레이,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=8364hRdJP9ZVdv11zu56w
VAC027,LG CYKING K8,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09996826/gallery/medium-interior01.jpg,370000,3,1100,285,305,445,,,,6.0,,카밍 베이지,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=JJqWcgrHlYkhHboB9l0Q4A
VAC028,LG 코드제로 오브제컬렉션 M9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09946834/gallery/medium-interior01.jpg,770000,,12,280,280,89,,,,2.0,,카밍 베이지,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=lQO2kAPdJJUSB2GOYDP4nQ
VAC029,LG 코드제로 오브제컬렉션 R5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10249826/gallery/medium-interior01.jpg,900000,,30,202,480,233,202,480,233,5.4,5.4,카밍 베이지,30,1,https://gscs-b2c.lge.com/open/downloadFile?fileId=sRfOxJrJHML00TsASgACQ
VAC030,LG 코드제로 오브제컬렉션 R9,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555830/gallery/medium-interior01.jpg,,,200,235,498,432,235,498,432,5.7,5.7,카밍 베이지,70,,https://gscs-b2c.lge.com/open/downloadFile?fileId=bJrhki6FjmzzQmgzxMjA
VAC031,LG 코드제로 오브제컬렉션 R5,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10555829/gallery/medium-interior01.jpg,900000,,30,202,480,233,202,480,233,5.4,5.4,에센스 화이트,30,1,
VAC032,자동 급배수 키트,https://www.lge.co.kr/kr/images/vacuum-cleaners/md10455828/gallery/medium01.jpg,222000,,,435,288,272,,,,1.67,,,,,
VAC033,LG 업소용 청소기,https://www.lge.co.kr/kr/images/vacuum-cleaners/md09092829/gallery/medium-interior01.jpg,269000,,1200,,,,,,,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=Cgjz1clKNaTNpYBN8aFxOA
