product_code,resol_code,name,img_link,price,proficiency_level,power_consum(W),screen_size(cm),display_type,ref_rate(Hz),os_type,speaker_output(W),width(mm),height(mm),depth(mm),weight(kg),manual_link
TVT102,RES000,LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543870/gallery/medium-interior01.jpg,,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=P2kD5C0GMTOhMGJa0247Sg
TVT103,RES000,LG 나노셀 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573845/gallery/medium-interior01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
TVT104,RES000,LG 나노셀 AI (스탠드형)+ LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661849/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
TVT105,RES000,LG 나노셀 AI (스탠드형)+ LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661848/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
TVT106,RES000,LG 나노셀 AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661847/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1927.0,1104.0,59.0,45.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=4H6EEORgSyzPuemuoHDOjA
TVT107,RES000,LG QNED AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10560830/gallery/medium-interior01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
TVT108,RES000,LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661832/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
TVT109,RES000,LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661831/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
TVT110,RES000,LG QNED AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10661830/gallery/medium01.jpg,3890000.0,,0.5,217.0,LED,60.0,webOS 25,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=PFPE7I6xK9DdCPPWP5R0g
TVT111,RES000,LG QNED TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10497855/gallery/medium01.jpg,,,0.5,217.0,LED,60.0,webOS 24,20.0,1928.0,1108.0,30.0,50.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=UyaQIgJ9cexz0RkyELGZLA
