product_code,name,img_link,price,proficiency_level,power_consum(W),washing_cap(kg),dryng_cap(kg),width(mm),height(mm),depth(mm),weight(kg),color,door_type,control_type,water_temp,spin_op,manual_link
WMT103,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709837/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,아몬드,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT104,LG 트롬 오브제컬렉션 + 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10476831/gallery/medium01.jpg,3930000,1,2100,25,20,700,990,830,94,네이처 베이지,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=1DsUL1PxU6Y9rsW4TBMAtA
WMT105,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709846/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,네이처 베이지,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT106,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709847/gallery/medium01.jpg,5030000,1,2200,25,,700,990,830,95,네이처 베이지,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT107,LG 트롬 오브제컬렉션 + 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10476830/gallery/medium01.jpg,3930000,1,2100,25,20,700,990,830,94,네이처 그린,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=1DsUL1PxU6Y9rsW4TBMAtA
WMT108,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709849/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,네이처 그린,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT109,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709848/gallery/medium01.jpg,5030000,1,2200,25,,700,990,830,95,네이처 그린,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT110,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709850/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,에센스 화이트,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT111,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709851/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,스페이스 블랙,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT112,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709845/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,토프,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT113,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709844/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,토프,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT114,LG 트롬 AI 오브제컬렉션 세탁기 + LG 트롬 AI 오브제컬렉션 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10709852/gallery/medium01.jpg,5030000,1,2200,25,25,700,990,830,95,모던 스테인리스,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=SxFfzryaDqEvK6OHaa3sA
WMT115,LG 트롬 오브제컬렉션 세탁기 + 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10641834/gallery/medium01.jpg,4030000,1,2100,24,21,700,990,830,95,네이처 베이지,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=xNrT8CK3QU2HfEUmwEFuEw
WMT116,LG 트롬 오브제컬렉션 세탁기 + 건조기 + 스태킹키트,https://www.lge.co.kr/kr/images/washing-machines/md10635846/gallery/medium01.jpg,4180000,1,2100,24,22,700,990,830,95,네이처 베이지,"700 x 990 x 1,410",다이얼+풀터치버튼 및 LCD+LED 디스플레이,"냉수, 30, 40, 60, 95℃",1,https://gscs-b2c.lge.com/open/downloadFile?fileId=xNrT8CK3QU2HfEUmwEFuEw
WMT117,LG 트롬 오브제컬렉션 건조기 + LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/dryers/md10193830/gallery/medium01.jpg,2140000,1,950,17,18,700,990,820,75,릴리 화이트,"700 x 990 x 1,380",다이얼+풀터치버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=It2PEnqsYsiPadfW5G6i6w
WMT118,LG 트롬 오브제컬렉션 건조기 + LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/dryers/md10193828/gallery/medium01.jpg,2190000,1,950,17,19,700,990,820,75,화이트,"700 x 990 x 1,340",다이얼 + LED 터치 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=It2PEnqsYsiPadfW5G6i6w
WMT119,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745829/gallery/medium-interior01.jpg,700000,2,500,17,,632,1018,670,44,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,
WMT120,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745826/gallery/medium-interior01.jpg,700000,2,500,17,,632,1018,670,44,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=5tw3NhS2HlLgW3Ugsr9mfg
WMT121,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745830/gallery/medium-interior01.jpg,600000,2,500,17,,632,1018,670,44,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=vGEKU03iEXxrWaNqrykQ
WMT122,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745840/gallery/medium-interior01.jpg,888000,2,500,18,,632,1040,670,45,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
WMT123,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745837/gallery/medium-interior01.jpg,750000,2,500,18,,632,1040,670,45,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
WMT124,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745836/gallery/medium-interior01.jpg,,2,500,18,,632,1040,670,45,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,
WMT125,LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md09745833/gallery/medium-interior01.jpg,750000,2,500,19,,632,1040,670,45,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,0,https://gscs-b2c.lge.com/open/downloadFile?fileId=O38E4buv8rWuSUtYtJYjVQ
