제품명,이미지 링크,가격(원),에너지 소비효율등급,소비전력(W),세탁 용량(kg),건조 용량(kg),크기(mm),무게(kg),색상,도어 디자인,조작 및 표현방식,물온도,탈수선택,제품 사용 설명서
LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10646828/gallery/medium-interior01.jpg,"1,440,000원",2등급,500,25,,"686x1,092x721",59.0,오닉스 블랙,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=IsD2DXDOPkQCg8ZaZELV3A
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10010829/gallery/medium-interior01.jpg,"1,340,000원",2등급,"1,500",25,,"690 x 1,070 x 730",59.0,플래티늄 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=8BEhXdYgCiuoMF9R5Fmg
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10010834/gallery/medium-interior01.jpg,"1,340,000원",2등급,"1,500",25,,"690 x 1,070 x 730",59.0,플래티늄 블랙,와이드 다이아몬드 글라스,풀터치버튼 및 LCD+LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=8BEhXdYgCiuoMF9R5Fmg
LG 통돌이 컴포트 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10517831/gallery/medium-interior01.jpg,"1,640,000원",2등급,"1,500",25,,"686x1,092x721",59.0,에센스 그라파이트,와이드 다이아몬드 글라스,다이얼+풀터치버튼 및 LCD+LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=Q7upFLzaTry7nV4XROMgw
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474828/gallery/medium-interior01.jpg,"429,000원",2등급,300,10,,590 x 960 x 606,38.0,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,3단계,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10708830/gallery/medium-interior01.jpg,"527,000원",2등급,300,10,,590 x 965 x 610,39.0,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10744826/gallery/medium-interior01.jpg,"516,000원",2등급,300,10,,590 x 965 x 610,39.0,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474827/gallery/medium-interior01.jpg,"449,000원",2등급,300,12,,590 x 960 x 606,38.0,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,3단계,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10473827/gallery/medium-interior01.jpg,"439,000원",2등급,300,12,,590 x 960 x 606,38.0,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,3단계,https://gscs-b2c.lge.com/open/downloadFile?fileId=TM3kMf3xGcad9NZJlaPhaQ
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10474826/gallery/medium-interior01.jpg,"500,000원",2등급,300,13,,590 x 960 x 606,38.0,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,3단계,https://gscs-b2c.lge.com/open/downloadFile?fileId=gh8KEL9WS1uDwV35PZVFCA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10708830/gallery/medium-interior01.jpg,"582,000원",2등급,300,13,,590 x 965 x 610,39.0,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10744826/gallery/medium-interior01.jpg,"571,000원",2등급,300,13,,590 x 965 x 610,39.0,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=Y9UM2EXARhv2rQ8piRozA
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10481828/gallery/medium-interior01.jpg,"550,000원",2등급,300,15,,632x970x670,44.0,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10481829/gallery/medium-interior01.jpg,"550,000원",2등급,300,15,,632x970x670,44.0,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578832/gallery/medium-interior01.jpg,"600,000원",2등급,300,16,,632x970x670,44.0,미드프리실버,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578831/gallery/medium-interior01.jpg,"600,000원",2등급,300,16,,632x970x670,44.0,미드 블랙,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
LG 통돌이 세탁기,https://www.lge.co.kr/kr/images/washing-machines/md10578833/gallery/medium-interior01.jpg,"600,000원",2등급,300,16,,632x970x670,39.0,화이트,와이드 다이아몬드 글라스,푸시버튼 및 LED 디스플레이,,O 있음,https://gscs-b2c.lge.com/open/downloadFile?fileId=kbjJsuhmJyZIPP6CIbvvaQ
